date,temp
2019-01-01,55.0
2019-02-01,56.8
2019-03-01,56.3
2019-04-01,54.0
2019-05-01,55.8
2019-06-01,57.1
2019-07-01,55.8
2019-08-01,56.4
2019-09-01,56.3
2019-10-01,54.0
2019-11-01,54.9
2019-12-01,56.8
2019-01-13,60.3
2019-01-14,56.0
2019-01-15,52.2
2019-01-16,53.9
2019-01-17,55.0
2019-01-18,55.1
2019-01-19,58.6
2019-01-20,63.5
2019-01-21,61.5
2019-01-22,58.1
2019-01-23,
2019-01-24,58.6
2019-01-25,56.1
2019-01-26,54.0
2019-01-27,55.3
2019-01-28,56.0
2019-01-29,57.3
2019-01-30,57.6
2019-01-31,59.9
2019-01-02,61.3
2019-02-02,55.3
2019-03-02,56.8
2019-04-02,59.1
2019-05-02,64.2
2019-06-02,67.1
2019-07-02,61.7
2019-08-02,58.8
2019-09-02,58.6
2019-10-02,58.6
2019-11-02,59.9
2019-12-02,63.5
2019-02-13,66.8
2019-02-14,63.8
2019-02-15,63.6
2019-02-16,60.8
2019-02-17,62.2
2019-02-18,65.2
2019-02-19,65.7
2019-02-20,64.9
2019-02-21,70.9
2019-02-22,66.4
2019-02-23,63.6
2019-02-24,63.6
2019-02-25,61.1
2019-02-26,60.1
2019-02-27,57.8
2019-02-28,57.3
2019-01-03,61.3
2019-02-03,59.3
2019-03-03,62.8
2019-04-03,66.4
2019-05-03,65.2
2019-06-03,64.8
2019-07-03,67.1
2019-08-03,68.7
2019-09-03,69.0
2019-10-03,67.2
2019-11-03,73.1
2019-12-03,71.8
2019-03-13,67.5
2019-03-14,65.5
2019-03-15,68.3
2019-03-16,70.8
2019-03-17,71.7
2019-03-18,71.3
2019-03-19,75.4
2019-03-20,80.4
2019-03-21,78.1
2019-03-22,75.1
2019-03-23,77.0
2019-03-24,77.1
2019-03-25,75.9
2019-03-26,75.6
2019-03-27,77.2
2019-03-28,80.8
2019-03-29,84.9
2019-03-30,88.5
2019-03-31,83.8
2019-01-04,81.8
2019-02-04,81.6
2019-03-04,84.5
2019-04-04,86.2
2019-05-04,83.7
2019-06-04,92.4
2019-07-04,87.5
2019-08-04,84.9
2019-09-04,86.3
2019-10-04,89.7
2019-11-04,90.6
2019-12-04,87.0
2019-04-13,88.5
2019-04-14,90.0
2019-04-15,92.5
2019-04-16,78.8
2019-04-17,75.8
2019-04-18,78.5
2019-04-19,81.5
2019-04-20,84.6
2019-04-21,87.9
2019-04-22,90.0
2019-04-23,92.8
2019-04-24,
2019-04-25,
2019-04-26,93.8
2019-04-27,
2019-04-28,94.6
2019-04-29,94.7
2019-04-30,
2019-01-05,94.0
2019-02-05,92.3
2019-03-05,90.6
2019-04-05,89.8
2019-05-05,90.7
2019-06-05,92.8
2019-07-05,92.3
2019-08-05,95.6
2019-09-05,96.9
2019-10-05,95.8
2019-11-05,93.1
2019-12-05,92.1
2019-05-13,92.0
2019-05-14,87.5
2019-05-15,84.9
2019-05-16,
2019-05-17,
2019-05-18,
2019-05-19,
2019-05-20,93.2
2019-05-21,95.5
2019-05-22,92.2
2019-05-23,92.6
2019-05-24,85.7
2019-05-25,90.5
2019-05-26,93.5
2019-05-27,95.1
2019-05-28,94.3
2019-05-29,97.8
2019-05-30,100.8
2019-05-31,101.7
2019-01-06,99.7
2019-02-06,99.2
2019-03-06,96.6
2019-04-06,98.0
2019-05-06,99.5
2019-06-06,99.8
2019-07-06,95.0
2019-08-06,100.3
2019-09-06,99.4
2019-10-06,102.6
2019-11-06,101.5
2019-12-06,96.8
2019-06-13,98.6
2019-06-14,99.7
2019-06-15,100.3
2019-06-16,88.8
2019-06-17,86.6
2019-06-18,83.4
2019-06-19,89.9
2019-06-20,92.3
2019-06-21,95.2
2019-06-22,96.0
2019-06-23,95.5
2019-06-24,89.8
2019-06-25,93.6
2019-06-26,96.5
2019-06-27,95.5
2019-06-28,96.5
2019-06-29,100.6
2019-06-30,100.3
2019-01-07,98.2
2019-02-07,94.8
2019-03-07,94.8
2019-04-07,87.7
2019-05-07,83.9
2019-06-07,92.1
2019-07-07,89.7
2019-08-07,92.7
2019-09-07,88.9
2019-10-07,93.1
2019-11-07,95.7
2019-12-07,94.8
2019-07-13,96.0
2019-07-14,93.8
2019-07-15,84.4
2019-07-16,84.6
2019-07-17,80.6
2019-07-18,80.6
2019-07-19,89.4
2019-07-20,87.2
2019-07-21,87.1
2019-07-22,88.3
2019-07-23,93.5
2019-07-24,92.0
2019-07-25,83.6
2019-07-26,83.4
2019-07-27,83.7
2019-07-28,86.1
2019-07-29,89.4
2019-07-30,88.7
2019-07-31,89.5
2019-01-08,91.2
2019-02-08,87.7
2019-03-08,86.0
2019-04-08,87.5
2019-05-08,89.2
2019-06-08,81.0
2019-07-08,87.7
2019-08-08,92.3
2019-09-08,88.7
2019-10-08,87.9
2019-11-08,91.2
2019-12-08,87.9
2019-08-13,86.8
2019-08-14,86.9
2019-08-15,87.1
2019-08-16,85.8
2019-08-17,80.5
2019-08-18,81.2
2019-08-19,87.3
2019-08-20,88.5
2019-08-21,89.6
2019-08-22,86.8
2019-08-23,89.3
2019-08-24,87.9
2019-08-25,84.7
2019-08-26,89.5
2019-08-27,91.3
2019-08-28,92.8
2019-08-29,92.5
2019-08-30,91.4
2019-08-31,91.4
2019-01-09,85.8
2019-02-09,90.9
2019-03-09,91.5
2019-04-09,90.7
2019-05-09,86.9
2019-06-09,89.1
2019-07-09,85.9
2019-08-09,89.4
2019-09-09,90.6
2019-10-09,90.3
2019-11-09,92.4
2019-12-09,92.0
2019-09-13,91.3
2019-09-14,89.6
2019-09-15,87.2
2019-09-16,90.2
2019-09-17,90.2
2019-09-18,87.7
2019-09-19,84.3
2019-09-20,86.4
2019-09-21,82.4
2019-09-22,81.0
2019-09-23,84.3
2019-09-24,85.0
2019-09-25,86.3
2019-09-26,85.4
2019-09-27,83.3
2019-09-28,83.5
2019-09-29,81.8
2019-09-30,81.3
2019-01-10,83.6
2019-02-10,84.2
2019-03-10,83.8
2019-04-10,80.8
2019-05-10,81.2
2019-06-10,81.7
2019-07-10,81.8
2019-08-10,80.9
2019-09-10,81.5
2019-10-10,81.8
2019-11-10,82.2
2019-12-10,82.6
2019-10-13,82.1
2019-10-14,81.6
2019-10-15,83.5
2019-10-16,83.5
2019-10-17,82.7
2019-10-18,83.3
2019-10-19,81.2
2019-10-20,78.8
2019-10-21,76.4
2019-10-22,77.4
2019-10-23,77.6
2019-10-24,78.1
2019-10-25,77.3
2019-10-26,76.9
2019-10-27,77.2
2019-10-28,77.0
2019-10-29,75.4
2019-10-30,77.4
2019-10-31,76.5
2019-01-11,77.8
2019-02-11,76.1
2019-03-11,74.1
2019-04-11,75.4
2019-05-11,74.3
2019-06-11,74.2
2019-07-11,69.0
2019-08-11,71.5
2019-09-11,70.8
2019-10-11,68.9
2019-11-11,67.4
2019-12-11,64.3
2019-11-13,68.5
2019-11-14,68.3
2019-11-15,70.1
2019-11-16,72.0
2019-11-17,73.4
2019-11-18,65.3
2019-11-19,66.2
2019-11-20,66.4
2019-11-21,66.7
2019-11-22,67.5
2019-11-23,68.8
2019-11-24,69.2
2019-11-25,68.0
2019-11-26,69.3
2019-11-27,68.7
2019-11-28,65.0
2019-11-29,64.5
2019-11-30,60.5
2019-01-12,60.2
2019-02-12,59.9
2019-03-12,59.8
2019-04-12,58.2
2019-05-12,58.0
2019-06-12,60.6
2019-07-12,59.2
2019-08-12,59.6
2019-09-12,58.7
2019-10-12,62.3
2019-11-12,60.4
2019-12-12,61.5
2019-12-13,59.4
2019-12-14,58.5
2019-12-15,57.5
2019-12-16,52.5
2019-12-17,51.1
2019-12-18,53.9
2019-12-19,50.5
2019-12-20,53.8
2019-12-21,54.6
2019-12-22,52.3
2019-12-23,49.2
2019-12-24,52.6
2019-12-25,47.1
2019-12-26,47.9
2019-12-27,47.5
2019-12-28,44.8
2019-12-29,47.8
2019-12-30,44.5
2019-12-31,46.6
